,date,home_team,score,away_team
0,14-04-2024,Athletico PR,4 - 0,Cuiabá
1,17-04-2024,Grêmio,2 - 0,Athletico PR
2,21-04-2024,Athletico PR,1 - 0,Internacional RS
3,28-04-2024,Juventude,1 - 1,Athletico PR
4,05-05-2024,Athletico PR,1 - 0,Vasco da Gama
5,12-05-2024,SE Palmeiras,0 - 2,Athletico PR
6,02-06-2024,Fortaleza,1 - 0,Athletico PR
7,13-06-2024,Athletico PR,3 - 1,Criciúma
8,16-06-2024,Athletico PR,1 - 1,Flamengo RJ
9,19-06-2024,Botafogo FR,1 - 1,Athletico PR
10,23-06-2024,Athletico PR,1 - 1,Corinthians
11,26-06-2024,Cruzeiro,2 - 0,Athletico PR
12,30-06-2024,Vitória,0 - 1,Athletico PR
13,04-07-2024,Athletico PR,1 - 2,São Paulo
14,07-07-2024,Atlético GO,1 - 2,Athletico PR
15,10-07-2024,Athletico PR,1 - 3,EC Bahia
16,21-07-2024,Bragantino,1 - 0,Athletico PR
17,28-07-2024,Cuiabá,1 - 2,Athletico PR
18,04-08-2024,Athletico PR,0 - 2,Grêmio
19,11-08-2024,Internacional RS,2 - 2,Athletico PR
20,18-08-2024,Athletico PR,1 - 2,Juventude
21,27-08-2024,Vasco da Gama,2 - 1,Athletico PR
22,01-09-2024,Athletico PR,0 - 2,SE Palmeiras
23,14-09-2024,Athletico PR,1 - 1,Fortaleza
24,22-09-2024,Criciúma,0 - 0,Athletico PR
25,29-09-2024,Flamengo RJ,1 - 0,Athletico PR
26,05-10-2024,Athletico PR,0 - 1,Botafogo FR
27,17-10-2024,Corinthians,5 - 2,Athletico PR
28,22-10-2024,Fluminense FC,1 - 0,Athletico PR
29,26-10-2024,Athletico PR,3 - 0,Cruzeiro
30,02-11-2024,Athletico PR,1 - 2,Vitória
31,10-11-2024,São Paulo,2 - 1,Athletico PR
32,16-11-2024,Athletico PR,1 - 0,Atlético Mineiro
33,14-04-2024,Atlético GO,1 - 2,Flamengo RJ
34,19-04-2024,Botafogo FR,1 - 0,Atlético GO
35,21-04-2024,Atlético GO,0 - 3,São Paulo
36,28-04-2024,Internacional RS,1 - 1,Atlético GO
37,12-05-2024,Atlético GO,0 - 1,Cruzeiro
38,01-06-2024,Vitória,0 - 2,Atlético GO
39,05-06-2024,Juventude,1 - 0,Atlético GO
40,11-06-2024,Atlético GO,2 - 2,Corinthians
41,16-06-2024,Fluminense FC,1 - 2,Atlético GO
42,19-06-2024,Atlético GO,1 - 2,Criciúma
43,22-06-2024,Cuiabá,0 - 0,Atlético GO
44,26-06-2024,Atlético GO,1 - 1,Grêmio
45,30-06-2024,Atlético Mineiro,1 - 1,Atlético GO
46,04-07-2024,Bragantino,3 - 1,Atlético GO
